Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
243,Entry long,2026-01-12 01:28,Long,10109.6,1,10109.6,8,0.08,8,0.08,-2.2,-0.02,251.4,10.06
244,Exit long,2026-01-12 03:44,Exit Long,10119.5,1,10111.5,8,0.08,8,0.08,-1.6,-0.02,259.4,10.38
244,Entry long,2026-01-12 02:17,Long,10111.5,1,10111.5,8,0.08,8,0.08,-1.6,-0.02,259.4,10.38
245,Exit short,2026-01-12 07:45,Exit Short,10108.7,1,10116.7,8,0.08,8,0.08,-5,-0.05,267.4,10.70
245,Entry short,2026-01-12 03:48,Short,10116.7,1,10116.7,8,0.08,8,0.08,-5,-0.05,267.4,10.70
246,Exit long,2026-01-12 08:00,Exit Long,10102.5,1,10110.5,-8,-0.08,1.1,0.01,-8,-0.08,259.4,10.38
246,Entry long,2026-01-12 07:50,Long,10110.5,1,10110.5,-8,-0.08,1.1,0.01,-8,-0.08,259.4,10.38
247,Exit short,2026-01-12 09:07,Exit Short,10119.7,1,10111.7,-8,-0.08,7.1,0.07,-8,-0.08,251.4,10.06
247,Entry short,2026-01-12 08:25,Short,10111.7,1,10111.7,-8,-0.08,7.1,0.07,-8,-0.08,251.4,10.06
248,Exit short,2026-01-12 09:24,Exit Short,10130.3,1,10122.3,-8,-0.08,4.2,0.04,-8,-0.08,243.4,9.74
248,Entry short,2026-01-12 09:14,Short,10122.3,1,10122.3,-8,-0.08,4.2,0.04,-8,-0.08,243.4,9.74
249,Exit short,2026-01-12 09:42,Exit Short,10135,1,10127,-8,-0.08,3.9,0.04,-8,-0.08,235.4,9.42
249,Entry short,2026-01-12 09:26,Short,10127,1,10127,-8,-0.08,3.9,0.04,-8,-0.08,235.4,9.42
250,Exit short,2026-01-12 10:06,Exit Short,10125.1,1,10133.1,8,0.08,8,0.08,-1.9,-0.02,243.4,9.74
250,Entry short,2026-01-12 09:47,Short,10133.1,1,10133.1,8,0.08,8,0.08,-1.9,-0.02,243.4,9.74
