Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
351,Exit long,2026-01-06 20:28,Exit Long,10118.6,1,10117.8,0.8,0.01,1.2,0.01,-0.3,0.00,372.3,3.72
351,Entry long,2026-01-06 20:27,Long,10117.8,1,10117.8,0.8,0.01,1.2,0.01,-0.3,0.00,372.3,3.72
352,Exit long,2026-01-06 20:35,Exit Long,10117.1,1,10116.5,0.6,0.01,1,0.01,-0.5,0.00,372.9,3.73
352,Entry long,2026-01-06 20:34,Long,10116.5,1,10116.5,0.6,0.01,1,0.01,-0.5,0.00,372.9,3.73
353,Exit long,2026-01-06 20:56,Exit Long,10108,1,10115.8,-7.8,-0.08,0.2,0.00,-7.8,-0.08,365.1,3.65
353,Entry long,2026-01-06 20:44,Long,10115.8,1,10115.8,-7.8,-0.08,0.2,0.00,-7.8,-0.08,365.1,3.65
354,Exit long,2026-01-06 20:57,Exit Long,10109.6,1,10109.3,0.3,0.00,0.7,0.01,0,0.00,365.4,3.65
354,Entry long,2026-01-06 20:57,Long,10109.3,1,10109.3,0.3,0.00,0.7,0.01,0,0.00,365.4,3.65
355,Exit long,2026-01-07 01:49,Exit Long,10111,1,10108.2,2.8,0.03,3.2,0.03,-0.3,0.00,368.2,3.68
355,Entry long,2026-01-07 01:47,Long,10108.2,1,10108.2,2.8,0.03,3.2,0.03,-0.3,0.00,368.2,3.68
356,Exit long,2026-01-07 02:03,Exit Long,10109.5,1,10108.8,0.7,0.01,1.1,0.01,-0.5,0.00,368.9,3.69
356,Entry long,2026-01-07 02:03,Long,10108.8,1,10108.8,0.7,0.01,1.1,0.01,-0.5,0.00,368.9,3.69
357,Exit short,2026-01-07 02:24,Exit Short,10112.6,1,10113.5,0.9,0.01,1.3,0.01,-0.4,0.00,369.8,3.70
357,Entry short,2026-01-07 02:22,Short,10113.5,1,10113.5,0.9,0.01,1.3,0.01,-0.4,0.00,369.8,3.70
358,Exit short,2026-01-07 03:33,Safety Net,10115.3,1,10113.7,-1.6,-0.02,0.2,0.00,-5.2,-0.05,368.2,3.68
358,Entry short,2026-01-07 03:04,Short,10113.7,1,10113.7,-1.6,-0.02,0.2,0.00,-5.2,-0.05,368.2,3.68
359,Exit short,2026-01-07 03:54,Exit Short,10117.5,1,10117.9,0.4,0.00,0.8,0.01,-0.2,0.00,368.6,3.69
359,Entry short,2026-01-07 03:53,Short,10117.9,1,10117.9,0.4,0.00,0.8,0.01,-0.2,0.00,368.6,3.69
360,Exit long,2026-01-07 04:16,Safety Net,10115.8,1,10115.7,0.1,0.00,0.3,0.00,-4.1,-0.04,368.7,3.69
360,Entry long,2026-01-07 04:04,Long,10115.7,1,10115.7,0.1,0.00,0.3,0.00,-4.1,-0.04,368.7,3.69
361,Exit short,2026-01-07 04:53,Safety Net,10118.4,1,10117.8,-0.6,-0.01,0,0.00,-2.5,-0.02,368.1,3.68
361,Entry short,2026-01-07 04:34,Short,10117.8,1,10117.8,-0.6,-0.01,0,0.00,-2.5,-0.02,368.1,3.68
362,Exit long,2026-01-07 05:40,Exit Long,10113.7,1,10113.7,0,0.00,0.4,0.00,-0.3,0.00,368.1,3.68
362,Entry long,2026-01-07 05:39,Long,10113.7,1,10113.7,0,0.00,0.4,0.00,-0.3,0.00,368.1,3.68
363,Exit long,2026-01-07 06:01,Safety Net,10111.2,1,10113.4,-2.2,-0.02,0,0.00,-5.5,-0.05,365.9,3.66
363,Entry long,2026-01-07 05:42,Long,10113.4,1,10113.4,-2.2,-0.02,0,0.00,-5.5,-0.05,365.9,3.66
364,Exit short,2026-01-07 06:23,Exit Short,10115.6,1,10116.8,1.2,0.01,1.6,0.02,0,0.00,367.1,3.67
364,Entry short,2026-01-07 06:22,Short,10116.8,1,10116.8,1.2,0.01,1.6,0.02,0,0.00,367.1,3.67
365,Exit long,2026-01-07 07:22,Safety Net,10106.4,1,10109.1,-2.7,-0.03,0.2,0.00,-6.5,-0.06,364.4,3.64
365,Entry long,2026-01-07 07:06,Long,10109.1,1,10109.1,-2.7,-0.03,0.2,0.00,-6.5,-0.06,364.4,3.64
366,Exit short,2026-01-07 07:53,Exit Short,10108.6,1,10111.8,3.2,0.03,4,0.04,-0.2,0.00,367.6,3.68
366,Entry short,2026-01-07 07:50,Short,10111.8,1,10111.8,3.2,0.03,4,0.04,-0.2,0.00,367.6,3.68
367,Exit short,2026-01-07 08:10,Exit Short,10102.8,1,10106.3,3.5,0.03,3.9,0.04,0,0.00,371.1,3.71
367,Entry short,2026-01-07 08:10,Short,10106.3,1,10106.3,3.5,0.03,3.9,0.04,0,0.00,371.1,3.71
368,Exit long,2026-01-07 08:18,Exit Long,10099.7,1,10099.1,0.6,0.01,1,0.01,0,0.00,371.7,3.72
368,Entry long,2026-01-07 08:18,Long,10099.1,1,10099.1,0.6,0.01,1,0.01,0,0.00,371.7,3.72
369,Exit long,2026-01-07 08:25,Exit Long,10095.5,1,10093.4,2.1,0.02,2.5,0.02,-0.5,0.00,373.8,3.74
369,Entry long,2026-01-07 08:24,Long,10093.4,1,10093.4,2.1,0.02,2.5,0.02,-0.5,0.00,373.8,3.74
370,Exit long,2026-01-07 08:27,Exit Long,10097,1,10095.3,1.7,0.02,2.1,0.02,-0.4,0.00,375.5,3.76
370,Entry long,2026-01-07 08:27,Long,10095.3,1,10095.3,1.7,0.02,2.1,0.02,-0.4,0.00,375.5,3.76
371,Exit long,2026-01-07 08:38,Exit Long,10088.7,1,10087.7,1,0.01,1.4,0.01,-6.9,-0.07,376.5,3.77
371,Entry long,2026-01-07 08:33,Long,10087.7,1,10087.7,1,0.01,1.4,0.01,-6.9,-0.07,376.5,3.77
372,Exit long,2026-01-07 08:47,Exit Long,10078.2,1,10077.7,0.5,0.00,0.9,0.01,0,0.00,377,3.77
372,Entry long,2026-01-07 08:47,Long,10077.7,1,10077.7,0.5,0.00,0.9,0.01,0,0.00,377,3.77
373,Exit long,2026-01-07 08:51,Exit Long,10081.1,1,10077.4,3.7,0.04,4.1,0.04,0,0.00,380.7,3.81
