Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
354,Entry short,2026-01-05 15:27,Short,48999.5,1,48999.5,-31.1,-0.06,4.5,0.01,-38,-0.08,-122.3,-4.89
355,Exit short,2026-01-05 15:32,Exit Short,49034.6,1,49009.9,-24.7,-0.05,2.7,0.01,-24.7,-0.05,-147,-5.88
355,Entry short,2026-01-05 15:31,Short,49009.9,1,49009.9,-24.7,-0.05,2.7,0.01,-24.7,-0.05,-147,-5.88
356,Exit short,2026-01-05 15:36,Exit Short,49017.6,1,49031.4,13.8,0.03,17.3,0.04,-0.6,0.00,-133.2,-5.33
356,Entry short,2026-01-05 15:35,Short,49031.4,1,49031.4,13.8,0.03,17.3,0.04,-0.6,0.00,-133.2,-5.33
357,Exit short,2026-01-05 15:45,Exit Short,49040.9,1,49032.9,-8,-0.02,6.8,0.01,-11.6,-0.02,-141.2,-5.65
357,Entry short,2026-01-05 15:44,Short,49032.9,1,49032.9,-8,-0.02,6.8,0.01,-11.6,-0.02,-141.2,-5.65
358,Exit short,2026-01-05 15:50,Exit Short,49056.8,1,49048.8,-8,-0.02,7.9,0.02,-9.2,-0.02,-149.2,-5.97
358,Entry short,2026-01-05 15:49,Short,49048.8,1,49048.8,-8,-0.02,7.9,0.02,-9.2,-0.02,-149.2,-5.97
359,Exit short,2026-01-05 16:14,Exit Short,49046,1,49054,8,0.02,9.9,0.02,-1.5,0.00,-141.2,-5.65
359,Entry short,2026-01-05 16:13,Short,49054,1,49054,8,0.02,9.9,0.02,-1.5,0.00,-141.2,-5.65
360,Exit short,2026-01-05 16:18,Exit Short,49046.7,1,49055.6,8.9,0.02,10,0.02,-9.6,-0.02,-132.3,-5.29
360,Entry short,2026-01-05 16:17,Short,49055.6,1,49055.6,8.9,0.02,10,0.02,-9.6,-0.02,-132.3,-5.29
361,Exit short,2026-01-05 16:26,Exit Short,49066.9,1,49084.7,17.8,0.04,20.8,0.04,-2.4,0.00,-114.5,-4.58
361,Entry short,2026-01-05 16:25,Short,49084.7,1,49084.7,17.8,0.04,20.8,0.04,-2.4,0.00,-114.5,-4.58
362,Exit short,2026-01-05 16:47,Exit Short,49077.6,1,49063.1,-14.5,-0.03,4.5,0.01,-15.8,-0.03,-129,-5.16
362,Entry short,2026-01-05 16:46,Short,49063.1,1,49063.1,-14.5,-0.03,4.5,0.01,-15.8,-0.03,-129,-5.16
363,Exit short,2026-01-05 16:56,Exit Short,49108,1,49100,-8,-0.02,6.4,0.01,-8,-0.02,-137,-5.48
363,Entry short,2026-01-05 16:55,Short,49100,1,49100,-8,-0.02,6.4,0.01,-8,-0.02,-137,-5.48
364,Exit short,2026-01-05 16:59,Exit Short,49113.6,1,49104.8,-8.8,-0.02,1.5,0.00,-15.2,-0.03,-145.8,-5.83
364,Entry short,2026-01-05 16:58,Short,49104.8,1,49104.8,-8.8,-0.02,1.5,0.00,-15.2,-0.03,-145.8,-5.83
365,Exit short,2026-01-05 17:04,Exit Short,49127.4,1,49117.2,-10.2,-0.02,0.2,0.00,-15.3,-0.03,-156,-6.24
365,Entry short,2026-01-05 17:03,Short,49117.2,1,49117.2,-10.2,-0.02,0.2,0.00,-15.3,-0.03,-156,-6.24
366,Exit short,2026-01-05 17:08,Exit Short,49135.9,1,49127.9,-8,-0.02,3,0.01,-10.1,-0.02,-164,-6.56
366,Entry short,2026-01-05 17:07,Short,49127.9,1,49127.9,-8,-0.02,3,0.01,-10.1,-0.02,-164,-6.56
367,Exit short,2026-01-05 17:13,Exit Short,49145.2,1,49129.3,-15.9,-0.03,0,0.00,-24.5,-0.05,-179.9,-7.20
367,Entry short,2026-01-05 17:12,Short,49129.3,1,49129.3,-15.9,-0.03,0,0.00,-24.5,-0.05,-179.9,-7.20
368,Exit short,2026-01-05 17:41,Exit Short,49133.4,1,49141.4,8,0.02,8,0.02,-4.4,-0.01,-171.9,-6.88
368,Entry short,2026-01-05 17:40,Short,49141.4,1,49141.4,8,0.02,8,0.02,-4.4,-0.01,-171.9,-6.88
369,Exit short,2026-01-05 17:52,Exit Short,49129.8,1,49149.9,20.1,0.04,20.9,0.04,-1,0.00,-151.8,-6.07
369,Entry short,2026-01-05 17:51,Short,49149.9,1,49149.9,20.1,0.04,20.9,0.04,-1,0.00,-151.8,-6.07
370,Exit short,2026-01-05 18:05,Exit Short,49157.3,1,49149.3,-8,-0.02,5.6,0.01,-8,-0.02,-159.8,-6.39
370,Entry short,2026-01-05 18:04,Short,49149.3,1,49149.3,-8,-0.02,5.6,0.01,-8,-0.02,-159.8,-6.39
371,Exit short,2026-01-05 18:08,Exit Short,49140.3,1,49148.3,8,0.02,8,0.02,-2.7,-0.01,-151.8,-6.07
371,Entry short,2026-01-05 18:07,Short,49148.3,1,49148.3,8,0.02,8,0.02,-2.7,-0.01,-151.8,-6.07
372,Exit short,2026-01-05 18:15,Exit Short,49159.2,1,49167.2,8,0.02,9.2,0.02,-7.7,-0.02,-143.8,-5.75
372,Entry short,2026-01-05 18:12,Short,49167.2,1,49167.2,8,0.02,9.2,0.02,-7.7,-0.02,-143.8,-5.75
373,Exit short,2026-01-05 18:34,Exit Short,49167,1,49159,-8,-0.02,2.7,0.01,-8,-0.02,-151.8,-6.07
373,Entry short,2026-01-05 18:32,Short,49159,1,49159,-8,-0.02,2.7,0.01,-8,-0.02,-151.8,-6.07
374,Exit short,2026-01-05 18:38,Exit Short,49174.8,1,49166.8,-8,-0.02,1.9,0.00,-8.5,-0.02,-159.8,-6.39
374,Entry short,2026-01-05 18:37,Short,49166.8,1,49166.8,-8,-0.02,1.9,0.00,-8.5,-0.02,-159.8,-6.39
375,Exit short,2026-01-05 18:43,Exit Short,49171,1,49179,8,0.02,8,0.02,-1.2,0.00,-151.8,-6.07
375,Entry short,2026-01-05 18:42,Short,49179,1,49179,8,0.02,8,0.02,-1.2,0.00,-151.8,-6.07
376,Exit short,2026-01-05 18:50,Exit Short,49190.1,1,49182.1,-8,-0.02,7.1,0.01,-8,-0.02,-159.8,-6.39
376,Entry short,2026-01-05 18:47,Short,49182.1,1,49182.1,-8,-0.02,7.1,0.01,-8,-0.02,-159.8,-6.39
377,Exit short,2026-01-05 19:00,Exit Short,49199.2,1,49191.2,-8,-0.02,2.2,0.00,-8,-0.02,-167.8,-6.71
377,Entry short,2026-01-05 18:57,Short,49191.2,1,49191.2,-8,-0.02,2.2,0.00,-8,-0.02,-167.8,-6.71
378,Exit long,2026-01-05 19:45,Exit Long,49095.9,1,49084.1,11.8,0.02,15,0.03,-2.3,0.00,-156,-6.24
378,Entry long,2026-01-05 19:44,Long,49084.1,1,49084.1,11.8,0.02,15,0.03,-2.3,0.00,-156,-6.24
379,Exit long,2026-01-05 19:58,Exit Long,49061.7,1,49069.7,-8,-0.02,1.1,0.00,-13,-0.03,-164,-6.56
379,Entry long,2026-01-05 19:57,Long,49069.7,1,49069.7,-8,-0.02,1.1,0.00,-13,-0.03,-164,-6.56
380,Exit long,2026-01-05 20:24,Exit Long,49042.9,1,49034.9,8,0.02,9.7,0.02,-2.4,0.00,-156,-6.24
380,Entry long,2026-01-05 20:23,Long,49034.9,1,49034.9,8,0.02,9.7,0.02,-2.4,0.00,-156,-6.24
381,Exit long,2026-01-05 20:45,Exit Long,49028.9,1,49020.9,8,0.02,8,0.02,-7.2,-0.01,-148,-5.92
381,Entry long,2026-01-05 20:44,Long,49020.9,1,49020.9,8,0.02,8,0.02,-7.2,-0.01,-148,-5.92
382,Exit long,2026-01-05 20:47,Exit Long,49019.3,1,49027.3,-8,-0.02,5,0.01,-8,-0.02,-156,-6.24
382,Entry long,2026-01-05 20:46,Long,49027.3,1,49027.3,-8,-0.02,5,0.01,-8,-0.02,-156,-6.24
