Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
74,Entry short,2025-12-30 09:39,Short,9890.3,1,9890.3,0.3,0.00,0.6,0.01,-0.4,0.00,51.7,2.07
75,Exit short,2025-12-30 09:41,Exit Short,9889.5,1,9889.7,0.2,0.00,0.5,0.01,0,0.00,51.9,2.08
75,Entry short,2025-12-30 09:41,Short,9889.7,1,9889.7,0.2,0.00,0.5,0.01,0,0.00,51.9,2.08
76,Exit short,2025-12-30 09:45,Exit Short,9890,1,9890.8,0.8,0.01,1.1,0.01,-0.1,0.00,52.7,2.11
76,Entry short,2025-12-30 09:45,Short,9890.8,1,9890.8,0.8,0.01,1.1,0.01,-0.1,0.00,52.7,2.11
77,Exit short,2025-12-30 10:52,Exit Short,9911.3,1,9903.2,-8.1,-0.08,0,0.00,-8.1,-0.08,44.6,1.78
77,Entry short,2025-12-30 10:13,Short,9903.2,1,9903.2,-8.1,-0.08,0,0.00,-8.1,-0.08,44.6,1.78
78,Exit short,2025-12-30 11:05,Exit Short,9911,1,9911.3,0.3,0.00,0.6,0.01,-2.9,-0.03,44.9,1.80
78,Entry short,2025-12-30 10:56,Short,9911.3,1,9911.3,0.3,0.00,0.6,0.01,-2.9,-0.03,44.9,1.80
79,Exit long,2025-12-30 11:24,Exit Long,9904.9,1,9904.2,0.7,0.01,1,0.01,-2.5,-0.03,45.6,1.82
79,Entry long,2025-12-30 11:19,Long,9904.2,1,9904.2,0.7,0.01,1,0.01,-2.5,-0.03,45.6,1.82
80,Exit long,2025-12-30 11:32,Exit Long,9906.9,1,9903.4,3.5,0.04,3.8,0.04,-0.2,0.00,49.1,1.96
80,Entry long,2025-12-30 11:29,Long,9903.4,1,9903.4,3.5,0.04,3.8,0.04,-0.2,0.00,49.1,1.96
81,Exit short,2025-12-30 11:46,Exit Short,9914.2,1,9914.9,0.7,0.01,1,0.01,-0.9,-0.01,49.8,1.99
81,Entry short,2025-12-30 11:45,Short,9914.9,1,9914.9,0.7,0.01,1,0.01,-0.9,-0.01,49.8,1.99
82,Exit short,2025-12-30 11:50,Exit Short,9915.7,1,9916.7,1,0.01,1.3,0.01,-0.2,0.00,50.8,2.03
82,Entry short,2025-12-30 11:50,Short,9916.7,1,9916.7,1,0.01,1.3,0.01,-0.2,0.00,50.8,2.03
83,Exit short,2025-12-30 12:43,Exit Short,9915.2,1,9915.8,0.6,0.01,1.1,0.01,0,0.00,51.4,2.06
83,Entry short,2025-12-30 12:42,Short,9915.8,1,9915.8,0.6,0.01,1.1,0.01,0,0.00,51.4,2.06
84,Exit short,2025-12-30 12:47,Exit Short,9915.7,1,9916.4,0.7,0.01,1,0.01,0,0.00,52.1,2.08
84,Entry short,2025-12-30 12:47,Short,9916.4,1,9916.4,0.7,0.01,1,0.01,0,0.00,52.1,2.08
85,Exit short,2025-12-30 13:03,Exit Short,9916.5,1,9917.5,1,0.01,1.3,0.01,-2.7,-0.03,53.1,2.12
85,Entry short,2025-12-30 12:56,Short,9917.5,1,9917.5,1,0.01,1.3,0.01,-2.7,-0.03,53.1,2.12
86,Exit short,2025-12-30 13:15,Exit Short,9918.7,1,9920.7,2,0.02,2.3,0.02,-0.2,0.00,55.1,2.20
