Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
39,Entry long,2025-12-30 02:31,Long,6903.1,1,6903.1,0.5,0.01,1,0.01,-1.5,-0.02,20.6,0.82
40,Exit short,2025-12-30 03:49,Safety Net,6907.6,1,6904.9,-2.7,-0.04,0.3,0.00,-4,-0.06,17.9,0.72
40,Entry short,2025-12-30 03:24,Short,6904.9,1,6904.9,-2.7,-0.04,0.3,0.00,-4,-0.06,17.9,0.72
41,Exit short,2025-12-30 04:20,Safety Net,6908.6,1,6908.9,0.3,0.00,0.3,0.00,-1.7,-0.02,18.2,0.73
41,Entry short,2025-12-30 04:11,Short,6908.9,1,6908.9,0.3,0.00,0.3,0.00,-1.7,-0.02,18.2,0.73
42,Exit short,2025-12-30 05:07,Safety Net,6909.1,1,6909.6,0.5,0.01,0.5,0.01,-0.7,-0.01,18.7,0.75
42,Entry short,2025-12-30 04:38,Short,6909.6,1,6909.6,0.5,0.01,0.5,0.01,-0.7,-0.01,18.7,0.75
43,Exit long,2025-12-30 05:49,Safety Net,6909,1,6908,1,0.01,1.1,0.02,-2.9,-0.04,19.7,0.79
43,Entry long,2025-12-30 05:24,Long,6908,1,6908,1,0.01,1.1,0.02,-2.9,-0.04,19.7,0.79
44,Exit long,2025-12-30 06:37,Safety Net,6905.4,1,6906.1,-0.7,-0.01,1,0.01,-2.7,-0.04,19,0.76
44,Entry long,2025-12-30 06:12,Long,6906.1,1,6906.1,-0.7,-0.01,1,0.01,-2.7,-0.04,19,0.76
45,Exit long,2025-12-30 07:58,Safety Net,6900.2,1,6903.4,-3.2,-0.05,0.3,0.00,-6.7,-0.10,15.8,0.63
45,Entry long,2025-12-30 07:07,Long,6903.4,1,6903.4,-3.2,-0.05,0.3,0.00,-6.7,-0.10,15.8,0.63
46,Exit short,2025-12-30 09:40,Safety Net,6908.4,1,6904.7,-3.7,-0.05,1.5,0.02,-5.5,-0.08,12.1,0.48
46,Entry short,2025-12-30 08:12,Short,6904.7,1,6904.7,-3.7,-0.05,1.5,0.02,-5.5,-0.08,12.1,0.48
47,Exit long,2025-12-30 09:59,Safety Net,6907.7,1,6906.7,1,0.01,1.2,0.02,-0.5,-0.01,13.1,0.52
47,Entry long,2025-12-30 09:51,Long,6906.7,1,6906.7,1,0.01,1.2,0.02,-0.5,-0.01,13.1,0.52
48,Exit long,2025-12-30 11:48,Safety Net,6905.7,1,6907.2,-1.5,-0.02,1.3,0.02,-7.2,-0.10,11.6,0.46
48,Entry long,2025-12-30 10:18,Long,6907.2,1,6907.2,-1.5,-0.02,1.3,0.02,-7.2,-0.10,11.6,0.46
49,Exit short,2025-12-30 12:24,Safety Net,6906.9,1,6906.7,-0.2,0.00,1.3,0.02,-2.2,-0.03,11.4,0.46
49,Entry short,2025-12-30 11:58,Short,6906.7,1,6906.7,-0.2,0.00,1.3,0.02,-2.2,-0.03,11.4,0.46
50,Exit short,2025-12-30 13:31,Safety Net,6905.2,1,6907.4,2.2,0.03,2.2,0.03,-0.9,-0.01,13.6,0.54
50,Entry short,2025-12-30 13:21,Short,6907.4,1,6907.4,2.2,0.03,2.2,0.03,-0.9,-0.01,13.6,0.54
51,Exit long,2025-12-30 14:00,Safety Net,6905.2,1,6903.9,1.3,0.02,1.5,0.02,-2.5,-0.04,14.9,0.60
51,Entry long,2025-12-30 13:41,Long,6903.9,1,6903.9,1.3,0.02,1.5,0.02,-2.5,-0.04,14.9,0.60
52,Exit long,2025-12-30 14:50,Exit Long,6910.2,1,6902.4,7.8,0.11,7.8,0.11,-5.2,-0.08,22.7,0.91
52,Entry long,2025-12-30 14:37,Long,6902.4,1,6902.4,7.8,0.11,7.8,0.11,-5.2,-0.08,22.7,0.91
53,Exit short,2025-12-30 15:05,Safety Net,6906.7,1,6907.7,1,0.01,1.8,0.03,-6,-0.09,23.7,0.95
53,Entry short,2025-12-30 14:52,Short,6907.7,1,6907.7,1,0.01,1.8,0.03,-6,-0.09,23.7,0.95
54,Exit long,2025-12-30 15:52,Safety Net,6901.7,1,6898.2,3.5,0.05,4,0.06,-4.3,-0.06,27.2,1.09
54,Entry long,2025-12-30 15:17,Long,6898.2,1,6898.2,3.5,0.05,4,0.06,-4.3,-0.06,27.2,1.09
55,Exit short,2025-12-30 16:21,Exit Short,6913.4,1,6905.7,-7.7,-0.11,0.3,0.00,-7.7,-0.11,19.5,0.78
55,Entry short,2025-12-30 16:03,Short,6905.7,1,6905.7,-7.7,-0.11,0.3,0.00,-7.7,-0.11,19.5,0.78
56,Exit long,2025-12-30 17:33,Safety Net,6903.4,1,6900.4,3,0.04,3,0.04,-3.7,-0.05,22.5,0.90
56,Entry long,2025-12-30 17:01,Long,6900.4,1,6900.4,3,0.04,3,0.04,-3.7,-0.05,22.5,0.90
57,Exit short,2025-12-30 17:46,Safety Net,6900.2,1,6903.9,3.7,0.05,3.7,0.05,-1,-0.01,26.2,1.05
57,Entry short,2025-12-30 17:39,Short,6903.9,1,6903.9,3.7,0.05,3.7,0.05,-1,-0.01,26.2,1.05
58,Exit short,2025-12-30 18:41,Safety Net,6902.9,1,6903.9,1,0.01,3.7,0.05,-3.3,-0.05,27.2,1.09
58,Entry short,2025-12-30 18:00,Short,6903.9,1,6903.9,1,0.01,3.7,0.05,-3.3,-0.05,27.2,1.09
59,Exit long,2025-12-30 20:19,Safety Net,6902.7,1,6903.9,-1.2,-0.02,3.5,0.05,-6,-0.09,26,1.04
59,Entry long,2025-12-30 19:07,Long,6903.9,1,6903.9,-1.2,-0.02,3.5,0.05,-6,-0.09,26,1.04
60,Exit short,2025-12-30 20:56,Safety Net,6901.2,1,6904.7,3.5,0.05,4.3,0.06,-0.2,0.00,29.5,1.18
60,Entry short,2025-12-30 20:43,Short,6904.7,1,6904.7,3.5,0.05,4.3,0.06,-0.2,0.00,29.5,1.18
61,Exit long,2025-12-30 21:18,Safety Net,6898.9,1,6897.9,1,0.01,1.7,0.02,-2,-0.03,30.5,1.22
61,Entry long,2025-12-30 21:00,Long,6897.9,1,6897.9,1,0.01,1.7,0.02,-2,-0.03,30.5,1.22
62,Exit short,2025-12-30 23:16,Safety Net,6896,1,6900.6,4.6,0.07,5.3,0.08,-0.1,0.00,35.1,1.40
62,Entry short,2025-12-30 23:09,Short,6900.6,1,6900.6,4.6,0.07,5.3,0.08,-0.1,0.00,35.1,1.40
