time,open,high,low,close,VWAP,VWAP Upper,VWAP Lower,VWAP Upper (2),VWAP Lower (2),VWAP Upper (3),VWAP Lower (3),VWAP Upper (4),VWAP Lower (4),VWAP Upper (5),VWAP Lower (5),Plot,E50,E200,E20,Volume,%D,%D,%D,%D
1765427040,6830.1,6831.9,6829.4,6831.6,6850.274675992008,6876.874558259062,6823.674793724955,6892.04480361449,6808.504548369527,6902.435382625058,6798.1139693589585,,,,,,6832.55505857523,6832.043535693594,6847.984343629427,68,13.434343434351886,10.730158730165423,48.05825242718613,74.20000000000377
1765427100,6831.4,6831.9,6830.9,6831.9,6850.210238975819,6876.802043262106,6823.6184346895325,6891.96768164413,6808.452796307509,6902.35510519346,6798.0653727581785,,,,,,6832.492672044255,6832.037906842865,6847.856181528794,60,27.323232323240774,21.84126984127654,43.932038834951065,73.06666666666995
1765427160,6831.8,6831.8,6831,6831.6,6850.152620681832,6876.736983010967,6823.568258352696,6891.898377151802,6808.406864211861,6902.282893686622,6798.022347677042,,,,,,6832.407655659088,6832.020734025497,6847.726650201871,54,40.213675213681945,30.666666666673134,44.97473746780415,71.40000000000327
1765427220,6831.4,6831.9,6831.1,6831.6,6850.108287589837,6876.686477993379,6823.530097186295,6891.8443522079,6808.372222971775,6902.226457834284,6797.990117345391,,,,,,6832.330736072508,6832.0042346519485,6847.598150997075,42,42.09401709402247,31.83416252073535,47.95918367347113,69.80000000000352
1765427280,6831.9,6831.9,6830.9,6831,6850.042877685672,6876.612189416585,6823.473565954758,6891.7650000131225,6808.320755358221,6902.143637408011,6797.942117963332,,,,,,6832.203999303698,6831.964852900892,6847.465894813831,62,38.87179487180268,29.61194029851515,45.77224093520973,67.66666666667031
1765427340,6830.9,6831.6,6830.6,6831.6,6850.007691658224,6876.572839563009,6823.442543753438,6891.723275477457,6808.292107838991,6902.100286377764,6797.915096938684,,,,,,6832.146475560488,6831.950544943994,6847.3394733412115,33,39.4358974359074,32.0563847429604,44.38775510204322,66.00000000000365
1765427400,6831.5,6831.9,6830.9,6831.5,6849.947141494615,6876.503697386519,6823.39058560271,6891.64923316862,6808.245049820609,6902.022887813896,6797.871395175333,,,,,,6832.0849064594895,6831.9328765148175,6847.213262398253,58,42.83333333334364,32.777777777785865,44.132653061225945,64.26666666667008
1765427460,6831.4,6831.4,6830.9,6831.1,6849.906101998545,6876.457411609892,6823.354792387197,6891.599955372614,6808.212248624475,6901.971560689546,6797.840643307543,,,,,,6831.9911058443,6831.900214690707,6847.084869869183,39,54.833333333350915,34.786324786333985,42.85714285714422,62.6000000000034
1765427520,6831.1,6831.6,6830.9,6831.4,6849.86961951056,6876.415926219365,6823.3233128017555,6891.55561676423,6808.183622256891,6901.9252678223575,6797.813971198763,,,,,,6831.934810049605,6831.880598428326,6846.9598908264015,35,66.83333333334606,35.38461538461875,43.87755102040867,62.93333333333673
1765427580,6831.6,6831.6,6830.1,6831.3,6849.801851130164,6876.3404971546415,6823.263205105687,6891.475818715477,6808.127883544852,6901.842477318788,6797.761224941541,,,,,,6831.874351949643,6831.85782986251,6846.835110819817,64,71.55555555557088,36.38461538462037,43.11224489795917,63.733333333336624
1765427640,6831.4,6831.6,6831.1,6831.1,6849.775180676006,6876.309815685561,6823.240545666451,6891.442849714449,6808.107511637563,6901.807941515057,6797.742419836955,,,,,,6831.800604144915,6831.828111044372,6846.709731450735,26,67.40740740742051,36.82051282051952,42.09183673469472,63.40000000000329
1765427700,6831,6831,6829.9,6830.4,6849.71947616408,6876.249006685464,6823.189945642696,6891.379129560942,6808.059822767219,6901.7422274208575,6797.696724907303,,,,,,6831.667213273971,6831.772106689691,6846.579773431206,52,49.07407407408717,32.33333333334182,38.832199546485356,61.73333333333661
1765427760,6830.3,6830.6,6829.1,6830.6,6849.67332430041,6876.200294437256,6823.146354163564,6891.328957093426,6808.017691507394,6901.691054803131,6797.655593797689,,,,,,6831.565573914546,6831.726141721468,6846.452444559244,42,44.70899470900684,37.52380952381901,35.36281179138638,60.22666666667004
